wrapper order,variable,filter score
1,Cardnum_unique_count_for_card_state_1,0.5186059951957085
2,Card_Merchdesc_State_total_3,0.2599209696267789
3,Card_Merchnum_Zip_total_amount_1_by_60,0.3058974499494893
4,Cardnum_max_0,0.49231631409536547
5,card_merch_total_7,0.2598647537776855
6,Cardnum_total_amount_0_by_60,0.37029630054350016
7,card_zip_total_amount_0_by_60,0.2655482819256827
8,card_state_max_7,0.25395582370664105
9,Card_dow_vdratio_0by14,0.5026571349557347
10,Card_dow_total_30,0.42680301106102114
11,High_Amount_For_Merchant,0.2515712466037181
12,Cardnum_variability_med_0,0.26918950785314444
13,Card_dow_avg_60,0.25100649051353585
14,card_state_total_14,0.2642250521974898
15,Card_dow_actual/toal_14,0.3370331741934217
16,Card_dow_unique_count_for_Card_Merchdesc_1,0.48688598218236984
17,Card_dow_count_0_by_60,0.37386348222117544
18,Merchnum_desc_State_total_3,0.24915661971242042
19,Cardnum_unique_count_for_card_state_60,0.32730762322519824
20,Cardnum_variability_max_3,0.4159074760490262
21,Card_dow_unique_count_for_merch_zip_1,0.49073745525872875
22,Cardnum_vdratio_0by7,0.36943926385304426
23,Cardnum_max_3,0.4662718780420817
24,Card_dow_unique_count_for_merch_state_14,0.41787101399187326
25,Card_Merchnum_desc_total_30,0.2543774394070377
26,Card_dow_count_30,0.37512322282238025
27,Cardnum_count_3,0.5721987062055063
28,Card_dow_unique_count_for_state_des_1,0.48687346935672354
29,Card_dow_unique_count_for_state_des_7,0.42321982563773436
30,Card_Merchnum_State_total_14,0.265345555143389
