bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,598.0,0.0,598.0,0.0,100.0,598.0,0.0,598.0,0.0,40.32366824005395,40.32366824005395,0.0,239200.0,0.0,239200.0
2.0,598.0,107.0,491.0,17.892976588628763,82.10702341137124,1196.0,107.0,1089.0,0.1835428924301422,73.4322319622387,73.24868906980856,0.09825528007346189,435600.0,2140.0,433460.0
3.0,597.0,319.0,278.0,53.43383584589615,46.56616415410385,1793.0,426.0,1367.0,0.7307408614508465,92.17801753202967,91.44727667057883,0.31163130943672274,546800.0,8520.0,538280.0
4.0,598.0,546.0,52.0,91.30434782608695,8.695652173913047,2391.0,972.0,1419.0,1.6673242190850301,95.6844234659474,94.01709924686237,0.6849894291754757,567600.0,19440.0,548160.0
5.0,598.0,580.0,18.0,96.98996655518394,3.0100334448160595,2989.0,1552.0,1437.0,2.6622296173044924,96.89817936614969,94.2359497488452,1.0800278357689632,574800.0,31040.0,543760.0
6.0,598.0,591.0,7.0,98.82943143812709,1.170568561872912,3587.0,2143.0,1444.0,3.6760039110074274,97.3701955495617,93.69419163855427,1.484072022160665,577600.0,42860.0,534740.0
7.0,598.0,591.0,7.0,98.82943143812709,1.170568561872912,4185.0,2734.0,1451.0,4.689778204710363,97.8422117329737,93.15243352826333,1.8842177808407994,580400.0,54680.0,525720.0
8.0,597.0,591.0,6.0,98.99497487437186,1.005025125628137,4782.0,3325.0,1457.0,5.7035524984132975,98.24679703304113,92.54324453462783,2.2820864790665754,582800.0,66500.0,516300.0
9.0,598.0,593.0,5.0,99.1638795986622,0.8361204013377943,5380.0,3918.0,1462.0,6.720757500385955,98.58395144976399,91.86319394937803,2.679890560875513,584800.0,78360.0,506440.0
10.0,598.0,597.0,1.0,99.83277591973244,0.16722408026755886,5978.0,4515.0,1463.0,7.7448239188980565,98.65138233310856,90.90655841421051,3.0861244019138754,585200.0,90300.0,494900.0
11.0,598.0,596.0,2.0,99.66555183946488,0.3344481605351177,6576.0,5111.0,1465.0,8.767174983275297,98.78624409979771,90.01906911652242,3.4887372013651876,586000.0,102220.0,483780.0
12.0,598.0,595.0,3.0,99.49832775919732,0.5016722408026766,7174.0,5706.0,1468.0,9.787810693517677,98.98853674983143,89.20072605631375,3.8869209809264307,587200.0,114120.0,473080.0
13.0,597.0,595.0,2.0,99.66499162479062,0.33500837520938376,7771.0,6301.0,1470.0,10.808446403760056,99.12339851652057,88.31495211276051,4.2863945578231295,588000.0,126020.0,461980.0
14.0,598.0,597.0,1.0,99.83277591973244,0.16722408026755886,8369.0,6898.0,1471.0,11.832512822272157,99.19082939986514,87.35831657759297,4.689326988443236,588400.0,137960.0,450440.0
15.0,598.0,593.0,5.0,99.1638795986622,0.8361204013377943,8967.0,7491.0,1476.0,12.849717824244815,99.52798381658799,86.67826599234317,5.07520325203252,590400.0,149820.0,440580.0
16.0,598.0,598.0,0.0,100.0,0.0,9565.0,8089.0,1476.0,13.875499596891778,99.52798381658799,85.65248421969622,5.480352303523035,590400.0,161780.0,428620.0
17.0,598.0,598.0,0.0,100.0,0.0,10163.0,8687.0,1476.0,14.901281369538742,99.52798381658799,84.62670244704925,5.88550135501355,590400.0,173740.0,416660.0
18.0,597.0,597.0,0.0,100.0,0.0,10760.0,9284.0,1476.0,15.925347788050843,99.52798381658799,83.60263602853715,6.289972899728998,590400.0,185680.0,404720.0
19.0,598.0,597.0,1.0,99.83277591973244,0.16722408026755886,11358.0,9881.0,1477.0,16.949414206562945,99.59541469993258,82.64600049336963,6.6899119837508465,590800.0,197620.0,393180.0
20.0,598.0,597.0,1.0,99.83277591973244,0.16722408026755886,11956.0,10478.0,1478.0,17.973480625075048,99.66284558327715,81.6893649582021,7.089309878213802,591200.0,209560.0,381640.0
21.0,598.0,598.0,0.0,100.0,0.0,12554.0,11076.0,1478.0,18.99926239772201,99.66284558327715,80.66358318555514,7.493910690121786,591200.0,221520.0,369680.0
22.0,598.0,597.0,1.0,99.83277591973244,0.16722408026755886,13152.0,11673.0,1479.0,20.023328816234113,99.73027646662172,79.7069476503876,7.8924949290060855,591600.0,233460.0,358140.0
23.0,597.0,597.0,0.0,100.0,0.0,13749.0,12270.0,1479.0,21.04739523474621,99.73027646662172,78.68288123187551,8.296146044624747,591600.0,245400.0,346200.0
24.0,598.0,597.0,1.0,99.83277591973244,0.16722408026755886,14347.0,12867.0,1480.0,22.071461653258314,99.79770734996629,77.72624569670798,8.69391891891892,592000.0,257340.0,334660.0
25.0,598.0,597.0,1.0,99.83277591973244,0.16722408026755886,14945.0,13464.0,1481.0,23.095528071770417,99.86513823331086,76.76961016154044,9.091154625253207,592400.0,269280.0,323120.0
26.0,598.0,598.0,0.0,100.0,0.0,15543.0,14062.0,1481.0,24.12130984441738,99.86513823331086,75.74382838889348,9.4949358541526,592400.0,281240.0,311160.0
27.0,598.0,598.0,0.0,100.0,0.0,16141.0,14660.0,1481.0,25.147091617064344,99.86513823331086,74.71804661624651,9.898717083051991,592400.0,293200.0,299200.0
28.0,597.0,597.0,0.0,100.0,0.0,16738.0,15257.0,1481.0,26.171158035576443,99.86513823331086,73.69398019773442,10.301823092505064,592400.0,305140.0,287260.0
29.0,598.0,596.0,2.0,99.66555183946488,0.3344481605351177,17336.0,15853.0,1483.0,27.193509099953687,100.0,72.80649090004631,10.68981793661497,593200.0,317060.0,276140.0
30.0,598.0,598.0,0.0,100.0,0.0,17934.0,16451.0,1483.0,28.21929087260065,100.0,71.78070912739935,11.09305461901551,593200.0,329020.0,264180.0
