bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,256.0,24.0,232.0,9.375,90.625,256.0,24.0,232.0,0.09612688749148876,35.52833078101072,35.43220389351924,0.10344827586206896,92800.0,480.0,92320.0
2.0,256.0,77.0,179.0,30.078125,69.921875,512.0,101.0,411.0,0.40453398486001524,62.94027565084227,62.53574166598225,0.24574209245742093,164400.0,2020.0,162380.0
3.0,257.0,157.0,100.0,61.08949416342413,38.91050583657587,769.0,258.0,511.0,1.0333640405335043,78.25421133231241,77.22084729177891,0.5048923679060665,204400.0,5160.0,199240.0
4.0,256.0,226.0,30.0,88.28125,11.71875,1025.0,484.0,541.0,1.9385588977450234,82.84839203675345,80.90983313900843,0.8946395563770795,216400.0,9680.0,206720.0
5.0,256.0,236.0,20.0,92.1875,7.8125,1281.0,720.0,561.0,2.883806624744663,85.91117917304747,83.02737254830281,1.2834224598930482,224400.0,14400.0,210000.0
6.0,256.0,240.0,16.0,93.75,6.25,1537.0,960.0,577.0,3.8450754996595506,88.3614088820827,84.51633338242314,1.6637781629116117,230800.0,19200.0,211600.0
7.0,256.0,251.0,5.0,98.046875,1.953125,1793.0,1211.0,582.0,4.850402531341371,89.1271056661562,84.27670313481482,2.0807560137457046,232800.0,24220.0,208580.0
8.0,257.0,253.0,4.0,98.44357976653697,1.5564202334630295,2050.0,1464.0,586.0,5.863740136980815,89.739663093415,83.8759229564342,2.4982935153583616,234400.0,29280.0,205120.0
9.0,256.0,251.0,5.0,98.046875,1.953125,2306.0,1715.0,591.0,6.869067168662634,90.50535987748852,83.63629270882588,2.9018612521150593,236400.0,34300.0,202100.0
10.0,256.0,250.0,6.0,97.65625,2.34375,2562.0,1965.0,597.0,7.870388913365643,91.42419601837672,83.55380710501107,3.291457286432161,238800.0,39300.0,199500.0
11.0,256.0,248.0,8.0,96.875,3.125,2818.0,2213.0,605.0,8.863700084111027,92.64931087289433,83.7856107887833,3.6578512396694216,242000.0,44260.0,197740.0
12.0,256.0,250.0,6.0,97.65625,2.34375,3074.0,2463.0,611.0,9.865021828814035,93.56814701378254,83.7031251849685,4.031096563011457,244400.0,49260.0,195140.0
13.0,257.0,253.0,4.0,98.44357976653697,1.5564202334630295,3331.0,2716.0,615.0,10.878359434453479,94.18070444104134,83.30234500658787,4.416260162601626,246000.0,54320.0,191680.0
14.0,256.0,254.0,2.0,99.21875,0.78125,3587.0,2970.0,617.0,11.895702327071735,94.48698315467075,82.59128082759902,4.813614262560778,246800.0,59400.0,187400.0
15.0,256.0,255.0,1.0,99.609375,0.390625,3843.0,3225.0,618.0,12.917050506668803,94.64012251148546,81.72307200481666,5.218446601941747,247200.0,64500.0,182700.0
16.0,256.0,255.0,1.0,99.609375,0.390625,4099.0,3480.0,619.0,13.93839868626587,94.79326186830015,80.85486318203428,5.621970920840065,247600.0,69600.0,178000.0
17.0,256.0,256.0,0.0,100.0,0.0,4355.0,3736.0,619.0,14.963752152841751,94.79326186830015,79.8295097154584,6.035541195476575,247600.0,74720.0,172880.0
18.0,257.0,254.0,3.0,98.83268482490273,1.1673151750972721,4612.0,3990.0,622.0,15.981095045460007,95.25267993874425,79.27158489328424,6.414790996784566,248800.0,79800.0,169000.0
19.0,256.0,253.0,3.0,98.828125,1.171875,4868.0,4243.0,625.0,16.99443265109945,95.71209800918837,78.71766535808891,6.7888,250000.0,84860.0,165140.0
