,bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,TP,TN,FN,FP,Accuracy,Misclass,FPRate,FPRatio,TPR,TNR,Precision,f1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12281.0,356.0,0.0,0.9718287568251959,0.028171243174804145,0.0,,0.0,1.0,,
1,1.0,126.0,20.0,106.0,15.873015873015873,84.12698412698413,126.0,20.0,106.0,0.1628531878511522,29.775280898876403,29.61242771102525,0.18867924528301888,106.0,12261.0,250.0,20.0,0.9786341695022552,0.02136583049774472,0.001628531878511522,0.18867924528301888,0.29775280898876405,0.9983714681214885,0.8412698412698413,0.4398340248962655
2,2.0,127.0,62.0,65.0,48.818897637795274,51.181102362204726,253.0,82.0,171.0,0.6676980701897239,48.03370786516854,47.366009794978815,0.47953216374269003,171.0,12199.0,185.0,82.0,0.9788715676188969,0.02112843238110311,0.00667698070189724,0.47953216374269003,0.4803370786516854,0.9933230192981027,0.6758893280632411,0.561576354679803
3,3.0,126.0,93.0,33.0,73.80952380952381,26.19047619047619,379.0,175.0,204.0,1.4249653936975817,57.30337078651685,55.87840539281927,0.8578431372549019,204.0,12106.0,152.0,175.0,0.9741236052860647,0.02587639471393527,0.014249653936975816,0.8578431372549019,0.5730337078651685,0.9857503460630241,0.5382585751978892,0.5551020408163265
4,4.0,126.0,102.0,24.0,80.95238095238095,19.04761904761905,505.0,277.0,228.0,2.255516651738458,64.04494382022472,61.789427168486256,1.2149122807017543,228.0,12004.0,128.0,277.0,0.9679512542533829,0.03204874574661708,0.022555166517384578,1.2149122807017543,0.6404494382022472,0.9774448334826155,0.4514851485148515,0.529616724738676
5,5.0,127.0,115.0,12.0,90.55118110236221,9.448818897637793,632.0,392.0,240.0,3.1919224818825827,67.41573033707866,64.22380785519607,1.6333333333333333,240.0,11889.0,116.0,392.0,0.9598005855820211,0.04019941441797895,0.03191922481882583,1.6333333333333333,0.6741573033707865,0.9680807751811742,0.379746835443038,0.48582995951416996
6,6.0,126.0,114.0,12.0,90.47619047619048,9.523809523809518,758.0,506.0,252.0,4.1201856526341505,70.78651685393258,66.66633120129843,2.007936507936508,252.0,11775.0,104.0,506.0,0.9517290496162064,0.04827095038379362,0.0412018565263415,2.007936507936508,0.7078651685393258,0.9587981434736585,0.3324538258575198,0.45242369838420105
7,7.0,127.0,116.0,11.0,91.33858267716535,8.661417322834652,885.0,622.0,263.0,5.064734142170833,73.87640449438203,68.8116703522112,2.365019011406844,263.0,11659.0,93.0,622.0,0.94342011553375,0.056579884466249904,0.050647341421708326,2.365019011406844,0.7387640449438202,0.9493526585782917,0.29717514124293787,0.42385173247381147
8,8.0,126.0,116.0,10.0,92.06349206349206,7.936507936507937,1011.0,738.0,273.0,6.009282631707515,76.68539325842697,70.67611062671945,2.7032967032967035,273.0,11543.0,83.0,738.0,0.9350320487457466,0.06496795125425338,0.06009282631707516,2.7032967032967035,0.7668539325842697,0.9399071736829249,0.27002967359050445,0.3994147768836869
9,9.0,126.0,118.0,8.0,93.65079365079364,6.349206349206355,1137.0,856.0,281.0,6.970116440029313,78.93258426966293,71.96246782963361,3.0462633451957295,281.0,11425.0,75.0,856.0,0.9263274511355544,0.07367254886444567,0.06970116440029314,3.0462633451957295,0.7893258426966292,0.9302988355997068,0.24714160070360597,0.37642330877427993
10,10.0,127.0,122.0,5.0,96.06299212598425,3.937007874015748,1264.0,978.0,286.0,7.9635208859213416,80.33707865168539,72.37355776576405,3.4195804195804196,286.0,11303.0,70.0,978.0,0.9170689245865317,0.08293107541346839,0.07963520885921342,3.4195804195804196,0.8033707865168539,0.9203647911407866,0.22626582278481014,0.3530864197530864
11,11.0,126.0,119.0,7.0,94.44444444444444,5.555555555555557,1390.0,1097.0,293.0,8.932497353635698,82.30337078651685,73.37087343288115,3.744027303754266,293.0,11184.0,63.0,1097.0,0.908206061565245,0.09179393843475508,0.08932497353635697,3.744027303754266,0.8230337078651685,0.9106750264636431,0.21079136690647482,0.33562428407789235
12,12.0,126.0,122.0,4.0,96.82539682539682,3.1746031746031775,1516.0,1219.0,297.0,9.925901799527725,83.42696629213484,73.50106449260711,4.104377104377105,297.0,11062.0,59.0,1219.0,0.898868402310675,0.101131597689325,0.09925901799527725,4.104377104377105,0.8342696629213483,0.9007409820047227,0.195910290237467,0.3173076923076923
13,13.0,127.0,125.0,2.0,98.4251968503937,1.5748031496062964,1643.0,1344.0,299.0,10.943734223597428,83.98876404494382,73.04502982134639,4.494983277591973,299.0,10937.0,57.0,1344.0,0.8891350795283691,0.11086492047163092,0.10943734223597427,4.494983277591973,0.8398876404494382,0.8905626577640258,0.1819841752891053,0.2991495747873936
14,14.0,126.0,119.0,7.0,94.44444444444444,5.555555555555557,1769.0,1463.0,306.0,11.912710691311782,85.95505617977528,74.0423454884635,4.781045751633987,306.0,10818.0,50.0,1463.0,0.8802722165070824,0.11972778349291763,0.11912710691311783,4.781045751633987,0.8595505617977528,0.8808728930868822,0.17297908422837763,0.28800000000000003
15,15.0,127.0,125.0,2.0,98.4251968503937,1.5748031496062964,1896.0,1588.0,308.0,12.930543115381484,86.51685393258427,73.58631081720279,5.1558441558441555,308.0,10693.0,48.0,1588.0,0.8705388937247764,0.12946110627522356,0.12930543115381485,5.1558441558441555,0.8651685393258427,0.8706945688461851,0.16244725738396623,0.27353463587921845
16,16.0,126.0,126.0,0.0,100.0,0.0,2022.0,1714.0,308.0,13.956518198843742,86.51685393258427,72.56033573374053,5.564935064935065,308.0,10567.0,48.0,1714.0,0.8605681728258289,0.13943182717417107,0.13956518198843743,5.564935064935065,0.8651685393258427,0.8604348180115626,0.152324431256182,0.25904121110176614
