,bin,#recs,#g,#b,%g,%b,tot,cg,cb,score_raw,prob(%),odds,log_odds,log_odds_adj,fit,score_calib
1,1.0,980.0,979.0,1.0,99.89795918367346,0.10204081632653583,980.0,979.0,1.0,1.1511761988775392e-05,0.10204081632653061,0.0010224719101123594,-9.93372307542979,-8.0,,999.0
2,2.0,981.0,981.0,0.0,100.0,0.0,1962.0,1960.0,1.0,1.853362301098765e-05,0.0,1.0193679918450562e-06,-19.903893610881326,-8.0,,999.0
3,3.0,980.0,980.0,0.0,100.0,0.0,2940.0,2940.0,1.0,2.524332299132018e-05,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,,999.0
4,4.0,980.0,980.0,0.0,100.0,0.0,3920.0,3920.0,1.0,3.516857891431951e-05,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,,999.0
5,5.0,981.0,981.0,0.0,100.0,0.0,4905.0,4901.0,1.0,4.6030990240769094e-05,0.0,1.0193679918450562e-06,-19.903893610881326,-8.0,,999.0
6,6.0,980.0,980.0,0.0,100.0,0.0,5880.0,5881.0,1.0,6.595668641278455e-05,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,,999.0
7,7.0,981.0,981.0,0.0,100.0,0.0,6867.0,6862.0,1.0,8.445203420577403e-05,0.0,1.0193679918450562e-06,-19.903893610881326,-8.0,,999.0
8,8.0,980.0,979.0,1.0,99.89795918367346,0.10204081632653583,7840.0,7841.0,2.0,0.00010402352603081171,0.10204081632653061,0.0010224719101123594,-9.93372307542979,-8.0,,999.0
9,9.0,980.0,980.0,0.0,100.0,0.0,8820.0,8821.0,2.0,0.00012411715732768466,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,,999.0
10,10.0,981.0,981.0,0.0,100.0,0.0,9810.0,9802.0,2.0,0.00014467617255255975,0.0,1.0193679918450562e-06,-19.903893610881326,-8.0,,999.0
11,11.0,980.0,980.0,0.0,100.0,0.0,10780.0,10782.0,2.0,0.00016508966258182756,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,,999.0
12,12.0,980.0,980.0,0.0,100.0,0.0,11760.0,11762.0,2.0,0.00018596033682788203,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,,999.0
13,13.0,981.0,981.0,0.0,100.0,0.0,12753.0,12743.0,2.0,0.00020674607159269887,0.0,1.0193679918450562e-06,-19.903893610881326,-8.0,,999.0
14,14.0,980.0,980.0,0.0,100.0,0.0,13720.0,13723.0,2.0,0.00022843062663302965,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,,999.0
15,15.0,981.0,981.0,0.0,100.0,0.0,14715.0,14704.0,2.0,0.00025227642640590766,0.0,1.0193679918450562e-06,-19.903893610881326,-8.0,,999.0
16,16.0,980.0,980.0,0.0,100.0,0.0,15680.0,15684.0,2.0,0.0002777700177357277,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,,999.0
17,17.0,980.0,979.0,1.0,99.89795918367346,0.10204081632653583,16660.0,16663.0,3.0,0.0003047882772205646,0.10204081632653061,0.0010224719101123594,-9.93372307542979,-8.0,,999.0
18,18.0,981.0,981.0,0.0,100.0,0.0,17658.0,17644.0,3.0,0.0003328223751118612,0.0,1.0193679918450562e-06,-19.903893610881326,-8.0,,999.0
19,19.0,980.0,980.0,0.0,100.0,0.0,18620.0,18624.0,3.0,0.00035918266374706045,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,,999.0
20,20.0,980.0,980.0,0.0,100.0,0.0,19600.0,19604.0,3.0,0.0003885128333880768,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,,999.0
21,21.0,981.0,980.0,1.0,99.8980632008155,0.10193679918450016,20601.0,20584.0,4.0,0.00041441152823141336,0.1019367991845056,0.0010214285714285714,-9.935195964828663,-8.0,,999.0
22,22.0,980.0,980.0,0.0,100.0,0.0,21560.0,21564.0,4.0,0.0004297081044945642,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,,999.0
23,23.0,981.0,981.0,0.0,100.0,0.0,22563.0,22545.0,4.0,0.00045231649859574084,0.0,1.0193679918450562e-06,-19.903893610881326,-8.0,,999.0
24,24.0,980.0,980.0,0.0,100.0,0.0,23520.0,23525.0,4.0,0.0004741331132685978,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,,999.0
25,25.0,980.0,980.0,0.0,100.0,0.0,24500.0,24505.0,4.0,0.0005068817414566161,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,,999.0
26,26.0,981.0,981.0,0.0,100.0,0.0,25506.0,25486.0,4.0,0.0005388001979008855,0.0,1.0193679918450562e-06,-19.903893610881326,-8.0,,999.0
27,27.0,980.0,980.0,0.0,100.0,0.0,26460.0,26466.0,4.0,0.0005661781139133051,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,,999.0
28,28.0,980.0,979.0,1.0,99.89795918367346,0.10204081632653583,27440.0,27445.0,5.0,0.0006018090652540825,0.10204081632653061,0.0010224719101123594,-9.93372307542979,-8.0,,999.0
29,29.0,981.0,981.0,0.0,100.0,0.0,28449.0,28426.0,5.0,0.0006426306925273611,0.0,1.0193679918450562e-06,-19.903893610881326,-8.0,,999.0
30,30.0,980.0,980.0,0.0,100.0,0.0,29400.0,29406.0,5.0,0.0006835932226805631,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,,999.0
31,31.0,980.0,980.0,0.0,100.0,0.0,30380.0,30386.0,5.0,0.0007242219303649721,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,-14.235154146976727,381.7354789582127
32,32.0,981.0,981.0,0.0,100.0,0.0,31392.0,31367.0,5.0,0.0007633210430876883,0.0,1.0193679918450562e-06,-19.903893610881326,-8.0,-12.482427611130712,416.79000967513304
33,33.0,980.0,979.0,1.0,99.89795918367346,0.10204081632653583,32340.0,32346.0,6.0,0.0008017814098062909,0.10204081632653061,0.0010224719101123594,-9.93372307542979,-8.0,-11.77885905932371,430.8613807112731
34,34.0,981.0,980.0,1.0,99.8980632008155,0.10193679918450016,33354.0,33326.0,7.0,0.0008442280077115953,0.1019367991845056,0.0010214285714285714,-9.935195964828663,-8.0,-11.288860292909016,440.66135603956695
35,35.0,980.0,980.0,0.0,100.0,0.0,34300.0,34306.0,7.0,0.000890994865604593,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,-10.904455950064857,448.3494428964501
36,36.0,980.0,980.0,0.0,100.0,0.0,35280.0,35286.0,7.0,0.0009400509485186265,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,-10.596468350316973,454.5091948914078
37,37.0,981.0,980.0,1.0,99.8980632008155,0.10193679918450016,36297.0,36266.0,8.0,0.0009886565490861549,0.1019367991845056,0.0010214285714285714,-9.935195964828663,-8.0,-10.35052348993766,459.42809209899406
38,38.0,980.0,979.0,1.0,99.89795918367346,0.10204081632653583,37240.0,37245.0,9.0,0.0010385165066181374,0.10204081632653061,0.0010224719101123594,-9.93372307542979,-8.0,-10.139430598031955,463.64994993710815
39,39.0,980.0,980.0,0.0,100.0,0.0,38220.0,38225.0,9.0,0.0010955982927041417,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,-9.934060405305871,467.75735379162984
40,40.0,981.0,981.0,0.0,100.0,0.0,39240.0,39206.0,9.0,0.0011547569327133988,0.0,1.0193679918450562e-06,-19.903893610881326,-8.0,-9.751149716338825,471.4155675709708
41,41.0,980.0,980.0,0.0,100.0,0.0,40180.0,40186.0,9.0,0.0012072823237258736,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,-9.608125563465498,474.2760506284373
42,42.0,981.0,979.0,2.0,99.79612640163099,0.20387359836901453,41202.0,41165.0,11.0,0.0012606913344006267,0.2038735983690112,0.0020439223697650663,-8.934443882360041,-8.0,-9.477437086322356,476.88982017130013
43,43.0,980.0,979.0,1.0,99.89795918367346,0.10204081632653583,42140.0,42144.0,12.0,0.0013181272228580258,0.10204081632653061,0.0010224719101123594,-9.93372307542979,-8.0,-9.350358254689372,479.43139680395984
44,44.0,980.0,980.0,0.0,100.0,0.0,43120.0,43124.0,12.0,0.0013781596364163043,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,-9.229779406410042,481.8429737695464
45,45.0,981.0,981.0,0.0,100.0,0.0,44145.0,44105.0,12.0,0.0014401040896461683,0.0,1.0193679918450562e-06,-19.903893610881326,-8.0,-9.116230099854354,484.1139599006602
46,46.0,980.0,979.0,1.0,99.89795918367346,0.10204081632653583,45080.0,45084.0,13.0,0.0014974400670705907,0.10204081632653061,0.0010224719101123594,-9.93372307542979,-8.0,-9.019410710231401,486.05034769311925
47,47.0,980.0,980.0,0.0,100.0,0.0,46060.0,46064.0,13.0,0.0015586016691166355,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,-8.923614953297115,487.96626283180495
48,48.0,981.0,979.0,2.0,99.79612640163099,0.20387359836901453,47088.0,47043.0,15.0,0.0016138866035131328,0.2038735983690112,0.0020439223697650663,-8.934443882360041,-8.0,-8.842789148140886,489.58277893492954
49,49.0,980.0,979.0,1.0,99.89795918367346,0.10204081632653583,48020.0,48022.0,16.0,0.0016776348915175686,0.10204081632653061,0.0010224719101123594,-9.93372307542979,-8.0,-8.755513102508296,491.3282998475813
50,50.0,980.0,980.0,0.0,100.0,0.0,49000.0,49002.0,16.0,0.0017449046529243576,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,-8.669441774226481,493.0497264132176
