iter	Logloss
0	0.670817767
1	0.648268476
2	0.6274928399
3	0.6057852834
4	0.5857767761
5	0.5671541613
6	0.5493469662
7	0.5326129129
8	0.5143615456
9	0.497728343
10	0.4812846253
11	0.4662633919
12	0.4525950911
13	0.4373262863
14	0.4233573466
15	0.4097353081
16	0.3964974751
17	0.3848370316
18	0.3728247593
19	0.3603074609
20	0.3486800224
21	0.338430472
22	0.3276650308
23	0.3179010402
24	0.307877752
25	0.2986617609
26	0.2891616937
27	0.2810379739
28	0.2741600966
29	0.2660975856
30	0.2591634778
31	0.2524792117
32	0.2460104718
33	0.2395695658
34	0.2326374784
35	0.2267908745
36	0.2206257703
37	0.2144656123
38	0.2090566126
39	0.2040750276
40	0.1991637096
41	0.1947426489
42	0.1901039609
43	0.1853543463
44	0.1810447979
45	0.1765914036
46	0.1725065072
47	0.1687374662
48	0.1646389834
49	0.1611938745
50	0.1576679377
51	0.1545686558
52	0.1511881983
53	0.1479858881
54	0.1451074512
55	0.1420423921
56	0.1394413049
57	0.1364939242
58	0.1338764945
59	0.1313925908
60	0.1289843873
61	0.1264096244
62	0.1242158585
63	0.1220071399
64	0.1197557682
65	0.1177581996
66	0.1158047423
67	0.1138695885
68	0.1120547856
69	0.1100526267
70	0.108294678
71	0.1067472245
72	0.1050516854
73	0.1035350466
74	0.1018874217
75	0.1002762627
76	0.09879934636
77	0.09738588872
78	0.09597320494
79	0.09483511176
80	0.09359077192
81	0.09234149943
82	0.09125498685
83	0.09019832125
84	0.08898909653
85	0.0878763861
86	0.08694134171
