iter	Passed	Remaining
0	404	1212449
1	1460	2189178
2	2510	2507767
3	3566	2671165
4	4623	2769703
5	4626	2308774
6	5688	2432180
7	5691	2128698
8	6742	2240817
9	7800	2332297
10	8899	2418173
11	8903	2216906
12	8966	2060149
13	9085	1937728
14	10199	2029606
15	10236	1909150
16	11318	1986027
17	12363	2048166
18	13405	2103330
19	14449	2152963
20	15497	2198386
21	16537	2238634
22	17580	2275580
23	18630	2310218
24	18694	2224664
25	18808	2151426
26	19850	2185728
27	20910	2219521
28	21968	2250615
29	22994	2276493
30	24040	2302452
31	25074	2325700
32	25138	2260140
33	26191	2284809
34	26302	2228164
35	27343	2251267
36	28384	2273068
37	28561	2226259
38	29603	2247618
39	30657	2268629
40	31022	2238880
41	32108	2261337
42	33170	2281054
43	33546	2253708
44	34609	2272703
45	35665	2290375
46	35687	2242260
47	36746	2259889
48	37810	2277098
49	38871	2293419
50	39952	2310173
51	40996	2324184
52	42064	2338963
53	43113	2352065
54	43319	2319551
55	44375	2332871
56	45451	2346726
57	46519	2359645
58	47582	2371864
59	48621	2382446
60	49681	2393678
61	50731	2404008
62	51782	2414042
63	52829	2423574
64	53882	2432992
65	54937	2442213
66	56005	2451719
67	56043	2416447
68	57091	2425129
69	58132	2433258
70	59203	2442360
71	60281	2451462
72	61326	2458927
73	62399	2467298
74	63474	2475491
75	64580	2484645
76	65671	2492971
77	66763	2501076
78	67848	2508682
79	68928	2515882
80	70020	2523326
81	71102	2530216
82	72135	2535176
83	73207	2541361
84	74265	2546886
85	75339	2552782
86	76427	2558999
